World Series,National League,Wins,American League,Wins
1903 World Series,Pittsburgh Pirates,3,Boston Americans,5
  8 Game Series,[0 - 1 in Series Play],,[1 - 0 in Series Play],
1905 World Series,New York Giants,4,Philadelphia Athletics,1
5 Game Series,[1 - 0 in Series Play],,[0 - 1 in Series Play],
1906 World Series,Chicago Cubs,2,Chicago White Sox,4
  6 Game Series,[0 - 1 in Series Play],,[1 - 0 in Series Play],
1907 World Series,Chicago Cubs,4,Detroit Tigers,0
  5 Game Series | 1 Tie,[1 - 1 in Series Play],,[0 - 1 in Series Play],
1908 World Series,Chicago Cubs,4,Detroit Tigers,1
  5 Game Series,[2 - 1 in Series Play],,[0 - 2 in Series Play],
1909 World Series,Pittsburgh Pirates,4,Detroit Tigers,3
7 Game Series,[1 - 1 in Series Play],,[0 - 3 in Series Play],
1910 World Series,Chicago Cubs,1,Philadelphia Athletics,4
5 Game Series,[2 - 2 in Series Play],,[1 - 1 in Series Play],
1911 World Series,New York Giants,2,Philadelphia Athletics,4
6 Game Series,[1 - 1 in Series Play],,[2 - 1 in Series Play],
1912 World Series,New York Giants,3,Boston Red Sox,4
8 Game Series | 1 Tie,[1 - 2 in Series Play],,[2 - 0 in Series Play],
1913 World Series,New York Giants,1,Philadelphia Athletics,4
  5 Game Series,  [1 - 3 in Series Play],,  [3 - 1 in Series Play],
1914 World Series,Boston Braves,4,Philadelphia Athletics,0
4 Game Series,[1 - 0 in Series Play],,[3 - 2 in Series Play],
1915 World Series,Philadelphia Phillies,1,Boston Red Sox,4
  5 Game Series,[0 - 1 in Series Play],,[3 - 0 in Series Play],
1916 World Series,Brooklyn Robins,1,Boston Red Sox,4
5 Game Series,[0 - 1 in Series Play],,[4 - 0 in Series Play],
1917 World Series,New York Giants,2,Chicago White Sox,4
  6 Game Series,[1 - 4 in Series Play],,[2 - 0 in Series Play],
1918 World Series,Chicago Cubs,2,Boston Red Sox,4
  6 Game Series,[2 - 3 in Series Play],,[5 - 0 in Series Play],
1919 World Series,Cincinnati Reds,5,Chicago White Sox,3
8 Game Series,[1 - 0 in Series Play],,[2 - 1 in Series Play],
1920 World Series,Brooklyn Robins,2,Cleveland Indians,5
7 Game Series,[0 - 2 in Series Play],,[1 - 0 in Series Play],
1921 World Series,New York Giants,5,New York Yankees,3
8 Game Series,[2 - 4 in Series Play],,[0 - 1 in Series Play],
1922 World Series,New York Giants,4,New York Yankees,0
5 Game Series | 1 Tie,[3 - 4 in Series Play],,[0 - 2 in Series Play],
1923 World Series,New York Giants,2,New York Yankees,4
6 Game Series,[3 - 5 in Series Play],,[1 - 2 in Series Play],
1924 World Series,New York Giants,3,Washington Senators,4
  7 Game Series,[3 - 6 in Series Play],,[1 - 0 in Series Play],
1925 World Series,Pittsburgh Pirates,4,Washington Senators,3
7 Game Series,[2 - 1 in Series Play],,[1 - 1 in Series Play],
1926 World Series,St. Louis Cardinals,4,New York Yankees,3
  7 Game Series,[1 - 0 in Series Play],,[1 - 3 in Series Play],
1927 World Series,Pittsburgh Pirates,0,New York Yankees,4
4 Game Series,[2 - 2 in Series Play],,[2 - 3 in Series Play],
1928 World Series,St. Louis Cardinals,0,New York Yankees,4
4 Game Series,[1 - 1 in Series Play],,[3 - 3 in Series Play],
1929 World Series,Chicago Cubs,1,Philadelphia Athletics,4
5 Game Series,[2 - 4 in Series Play],,[4 - 2 in Series Play],
1930 World Series,St. Louis Cardinals,2,Philadelphia Athletics,4
6 Game Series,[1 - 2 in Series Play],,[5 - 2 in Series Play],
1931 World Series,St. Louis Cardinals,4,Philadelphia Athletics,3
7 Game Series,[2 - 2 in Series Play],,[5 - 3 in Series Play],
1932 World Series,Chicago Cubs,0,New York Yankees,4
4 Game Series,[2 - 5 in Series Play],,[4 - 3 in Series Play],
1933 World Series,New York Giants,4,Washington Senators,1
5 Game Series,[4 - 6 in Series Play],,[1 - 2 in Series Play],
1934 World Series,St. Louis Cardinals,4,Detroit Tigers,3
7 Game Series,[3 - 2 in Series Play],,[0 - 4 in Series Play],
1935 World Series,Chicago Cubs,2,Detroit Tigers,4
  6 Game Series,[2 - 6 in Series Play],,[1 - 4 in Series Play],
1936 World Series,New York Giants,2,New York Yankees,4
6 Game Series,[4 - 7 in Series Play],,[5 - 3 in Series Play],
1937 World Series,New York Giants,1,New York Yankees,4
5 Game Series,[4 - 8 in Series Play],,[6 - 3 in Series Play],
1938 World Series,Chicago Cubs,0,New York Yankees,4
4 Game Series,[2 - 7 in Series Play],,[7 - 3 in Series Play],
1939 World Series,Cincinnati Reds,0,New York Yankees,4
4 Game Series,[1 - 1 in Series Play],,[8 - 3 in Series Play],
1940 World Series,Cincinnati Reds,4,Detroit Tigers,3
7 Game Series,[2 - 1 in Series Play],,[1 - 5 in Series Play],
1941 World Series,Brooklyn Dodgers,1,New York Yankees,4
5 Game Series,[0 - 3 in Series Play],,[9 - 3 in Series Play],
1942 World Series,St. Louis Cardinals,4,New York Yankees,1
5 Game Series,[4 - 2 in Series Play],,[9 - 4 in Series Play],
1943 World Series,St. Louis Cardinals,1,New York Yankees,4
5 Game Series,[4 - 3 in Series Play],,[10 - 4 in Series Play],
1944 World Series,St. Louis Cardinals,4,St. Louis Browns,2
6 Game Series,[5 - 3 in Series Play],,[0 - 1 in Series Play],
1945 World Series,Chicago Cubs,3,Detroit Tigers,4
7 Game Series,[2 - 8 in Series Play],,[2 - 5 in Series Play],
1946 World Series,St. Louis Cardinals,4,Boston Red Sox,3
7 Game Series,[6 - 3 in Series Play],,[5 - 1 in Series Play],
1947 World Series,Brooklyn Dodgers,3,New York Yankees,4
  7 Game Series,[0 - 4 in Series Play],,[11 - 4 in Series Play],
1948 World Series,Boston Braves,2,Cleveland Indians,4
6 Game Series,[1 - 1 in Series Play],,[2 - 0 in Series Play],
1949 World Series,Brooklyn Dodgers,1,New York Yankees,4
5 Game Series,[0 - 5 in Series Play],,[12 - 4 in Series Play],
1950 World Series,Philadelphia Phillies,0,New York Yankees,4
4 Game Series,[0 - 2 in Series Play],,[13 - 4 in Series Play],
1951 World Series,New York Giants,2,New York Yankees,4
6 Game Series,[4 - 9 in Series Play],,[14 - 4 in Series Play],
1952 World Series,Brooklyn Dodgers,3,New York Yankees,4
7 Game Series,[0 - 6 in Series Play],,[15 - 4 in Series Play],
1953 World Series,Brooklyn Dodgers,2,New York Yankees,4
6 Game Series,[0 - 7 in Series Play],,[16 - 4 in Series Play],
1954 World Series,New York Giants,4,Cleveland Indians,0
4 Game Series,[5 - 9 in Series Play],,[2 - 1 in Series Play],
1955 World Series,Brooklyn Dodgers,4,New York Yankees,3
7 Game Series,[1 - 7 in Series Play],,[16 - 5 in Series Play],
1956 World Series,Brooklyn Dodgers,3,New York Yankees,4
7 Game Series,[1 - 8 in Series Play],,[17 - 5 in Series Play],
1957 World Series,Milwaukee Braves,4,New York Yankees,3
7 Game Series,[2 - 1 in Series Play],,[17 - 6 in Series Play],
1958 World Series,Milwaukee Braves,3,New York Yankees,4
7 Game Series,[2 - 2 in Series Play],,[18 - 6 in Series Play],
1959 World Series,Los Angeles Dodgers,4,Chicago White Sox,2
6 Game Series,[2 - 8 in Series Play],,[2 - 2 in Series Play],
1960 World Series,Pittsburgh Pirates,4,New York Yankees,3
7 Game Series,[3 - 2 in Series Play],,[18 - 7 in Series Play],
1961 World Series,Cincinnati Reds,1,New York Yankees,4
5 Game Series,[2 - 2 in Series Play],,[19 - 7 in Series Play],
1962 World Series,San Francisco Giants,3,New York Yankees,4
7 Game Series,[5 - 10 in Series Play],,[20 - 7 in Series Play],
1963 World Series,Los Angeles Dodgers,4,New York Yankees,0
4 Game Series,[3 - 8 in Series Play],,[20 - 8 in Series Play],
1964 World Series,St. Louis Cardinals,4,New York Yankees,3
7 Game Series,[7 - 3 in Series Play],,[20 - 9 in Series Play],
1965 World Series,Los Angeles Dodgers,4,Minnesota Twins,3
7 Game Series,[4 - 8 in Series Play],,[1 - 3 in Series Play],
1966 World Series,Los Angeles Dodgers,0,Baltimore Orioles,4
4 Game Series,[4 - 9 in Series Play],,[1 - 1 in Series Play],
1967 World Series,St. Louis Cardinals,4,Boston Red Sox,3
7 Game Series,[8 - 3 in Series Play],,[5 - 2 in Series Play],
1968 World Series,St. Louis Cardinals,3,Detroit Tigers,4
  7 Game Series,[8 - 4 in Series Play],,[3 - 5 in Series Play],
1969 World Series,New York Mets,4,Baltimore Orioles,1
5 Game Series,[1 - 0 in Series Play],,[1 - 2 in Series Play],
1970 World Series,Cincinnati Reds,1,Baltimore Orioles,4
5 Game Series,[2 - 3 in Series Play],,[2 - 2 in Series Play],
